id,nombre,imagen,origen
alkatraz-classic-santiago-de-compostela,Alkatraz Classic,images/ec-all/alkatraz-classic-santiago-de-compostela.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falkatraz_400x600.webp?alt=media
alkatraz-medieval,Alkatraz Medieval,images/ec-all/alkatraz-medieval.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falkatrazmedieval_400x600.webp?alt=media
alkatraz-medieval-571811,Alkatraz Medieval,images/ec-all/alkatraz-medieval-571811.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F14b32bd2-0951-45a8-a2b7-1a49863ce858_400x600.webp?alt=media
alkatraz-medieval-santiago-de-compostela,Alkatraz Medieval,images/ec-all/alkatraz-medieval-santiago-de-compostela.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falkatrazmedieval_400x600.webp?alt=media
almacen-232,Almacén 232,images/ec-all/almacen-232.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falmacen232_400x600.webp?alt=media
almacen-oculto,Almacén Oculto,images/ec-all/almacen-oculto.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falmacenoculto_400x600.webp?alt=media
alojamientos-becker,Alojamientos Becker,images/ec-all/alojamientos-becker.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbecker_400x600.webp?alt=media
alta-traicion,Alta Traición,images/ec-all/alta-traicion.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Ftraicion_400x600.webp?alt=media
amazonas,Amazonas,images/ec-all/amazonas.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Famazonas_400x600.webp?alt=media
ambar-la-visita,"Ambar, La Visita",images/ec-all/ambar-la-visita.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FambarLaVisita_400x600.webp?alt=media
ambar-la-visita-2-0,"Ambar, La Visita",images/ec-all/ambar-la-visita-2-0.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FambarLaVisita_400x600.webp?alt=media
among-us-virtual,Among Us Virtual,images/ec-all/among-us-virtual.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Famongusvirtual_400x600.webp?alt=media
amores-que-matan,Amores que Matan,images/ec-all/amores-que-matan.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Famoresquematan_400x600.webp?alt=media
andana-9-3-4,Andana 9 3/4,images/ec-all/andana-9-3-4.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fandana934_400x600.webp?alt=media
andana24,Andana24,images/ec-all/andana24.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fandana24_400x600.webp?alt=media
anden-88,Anden 88,images/ec-all/anden-88.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fanden-88_400x600.webp?alt=media
apartamento-97,Apartamento 97,images/ec-all/apartamento-97.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F56f4e9f7-15f3-4db4-9582-0fe415e89268_400x600.webp?alt=media
apartamento-de-mr-writer,Apartamento de Mr Writer,images/ec-all/apartamento-de-mr-writer.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FApartamento%20de%20Mr%20Writer_400x600.webp?alt=media
apocalipsis,Apocalipsis,images/ec-all/apocalipsis.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fapocalipsisalicante_400x600.webp?alt=media
apocalipsis-natura,Apocalipsis Natura,images/ec-all/apocalipsis-natura.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fapocalipsisnatura_400x600.webp?alt=media
apophis,Apophis,images/ec-all/apophis.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fapophis2_400x600.webp?alt=media
aradia-insomnia-hotel,Aradia (Insomnia Hotel),images/ec-all/aradia-insomnia-hotel.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Faradia_400x600.webp?alt=media
arcade-invaders,Arcade Invaders,images/ec-all/arcade-invaders.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Farcadeinvaders_400x600.webp?alt=media
arcanum,Arcanum,images/ec-all/arcanum.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FArcanum_room_400x600.webp?alt=media
area-51,Área 51,images/ec-all/area-51.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fmindclue_400x600.webp?alt=media
arena-51,Arena 51,images/ec-all/arena-51.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Farena%2051_400x600.webp?alt=media
armageroom,Armageroom,images/ec-all/armageroom.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Farmageroom_400x600.webp?alt=media
ars-goetia,Ars Goetia,images/ec-all/ars-goetia.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fb2690b3d-710f-48b9-9a13-acbe500ad9b4_400x600.webp?alt=media
artificiero,Artificiero,images/ec-all/artificiero.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fartificiero_400x600.webp?alt=media
asalto,Asalto,images/ec-all/asalto.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F127529367-dos-ladrones-en-la-puerta-del-garaje-con-palanca-en-robo_400x600.webp?alt=media
asalto-a-banca-corleone,Asalto a Banca Corleone,images/ec-all/asalto-a-banca-corleone.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fba68f15c-4b08-40d8-8b8b-583aa189c7e4_400x600.webp?alt=media
asesinato-en-el-orient-express,Asesinato en el Orient Express,images/ec-all/asesinato-en-el-orient-express.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fasesinato%20en%20el%20orient%20express_400x600.webp?alt=media
asesinato-en-la-escuela-de-magia,Asesinato en la Escuela de Magia,images/ec-all/asesinato-en-la-escuela-de-magia.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fescuelademagia_400x600.webp?alt=media
atlantida,Atlantida,images/ec-all/atlantida.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FATLANTIDA_400x600.webp?alt=media
atlantis,Atlantis,images/ec-all/atlantis.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatlantis_400x600.webp?alt=media
atlantis-165601,Atlantis,images/ec-all/atlantis-165601.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatlantis_400x600.webp?alt=media
atraco-al-compadre,Atraco al Compadre,images/ec-all/atraco-al-compadre.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatracoalcompadre_400x600.webp?alt=media
atrapado-en-el-cine,Atrapado en el Cine,images/ec-all/atrapado-en-el-cine.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatrapadoenelcine_400x600.webp?alt=media
atrapado-en-el-museo,Atrapado en el Museo,images/ec-all/atrapado-en-el-museo.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatrapadoenunmuseo_400x600.webp?alt=media
atrapado-en-un-cuarto-con-un-zombie,Atrapado en un Cuarto con un Zombie,images/ec-all/atrapado-en-un-cuarto-con-un-zombie.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatrapado%20con%20un%20zombie_400x600.webp?alt=media
atrapados-en-el-sotano,Atrapados en el Sótano,images/ec-all/atrapados-en-el-sotano.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatrapadosenelsotano_400x600_400x600.webp?alt=media
atrapados-en-el-sotano-a-coruna,Atrapados en el Sótano,images/ec-all/atrapados-en-el-sotano-a-coruna.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatrapadosenelsotano_400x600_400x600.webp?alt=media
atrincherados,Atrincherados,images/ec-all/atrincherados.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fexperienciaazul_400x600.webp?alt=media
attractions,Attractions,images/ec-all/attractions.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fattractions_400x600.webp?alt=media
augustus-explorador,Augustus Explorador,images/ec-all/augustus-explorador.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Faugustusexplorador_400x600.webp?alt=media
aventura-en-el-himalaya-bajo-zero,Aventura en el Himalaya (Bajo Zero),images/ec-all/aventura-en-el-himalaya-bajo-zero.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Faventuraenelhimalaya_400x600.webp?alt=media
aventura-pirata,Aventura Pirata,images/ec-all/aventura-pirata.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Faventurapirata_400x600.webp?alt=media
aventura-submarina,Aventura Submarina,images/ec-all/aventura-submarina.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FsubmarinoRoom_400x600.webp?alt=media
awaken,Awaken,images/ec-all/awaken.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fawaken_400x600.webp?alt=media
baba-yaga,Baba Yaga,images/ec-all/baba-yaga.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbaba_400x600.webp?alt=media
backstab,Backstab,images/ec-all/backstab.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbackstrab_400x600.webp?alt=media
bajo-segunda,Parasomnia Bajo Segunda,images/ec-all/bajo-segunda.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fplasticrobot_escapecollector_parasomniabajo2_400x600.webp?alt=media
bajo-tierra,Bajo Tierra,images/ec-all/bajo-tierra.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbajotierra_400x600.webp?alt=media
bajo-zero,Bajo Zero,images/ec-all/bajo-zero.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbajozero_400x600.webp?alt=media
balamku,Balamkú,images/ec-all/balamku.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbalamku_400x600.webp?alt=media
bandidos,Bandidos,images/ec-all/bandidos.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbandidos_400x600.webp?alt=media
bank-of-thaqar,Bank of Thaqar,images/ec-all/bank-of-thaqar.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbankofthaqar_400x600.webp?alt=media
barcelona-romana,Barcelona Romana,images/ec-all/barcelona-romana.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbcnromana_400x600.webp?alt=media
barceloneta-pecadora,Barceloneta Pecadora,images/ec-all/barceloneta-pecadora.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbarcelonetapecadora_400x600.webp?alt=media
barum-dum,Barum Dum,images/ec-all/barum-dum.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbarumdum_400x600.webp?alt=media
bianco-bar,Bianco Bar,images/ec-all/bianco-bar.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FBiancoBar_400x600.webp?alt=media
bienvenidos-a-bordo,Bienvenidos a Bordo,images/ec-all/bienvenidos-a-bordo.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fabordo_400x600.webp?alt=media
biohazard,Biohazard,images/ec-all/biohazard.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fd8f740ed8c7e63eccee34e3bb691f26b_400x600.webp?alt=media
bite-the-party,Bite The Party,images/ec-all/bite-the-party.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbite%20the%20party_400x600.webp?alt=media
bites-motel,Bites Motel,images/ec-all/bites-motel.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F2d453de85e340a98b2ce49d2d788a89f_400x600.webp?alt=media
blackout-cydonia-project,Blackout Cydonia Project,images/ec-all/blackout-cydonia-project.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fc2d7c3cc61441d839da504623b67e621_400x600.webp?alt=media
blasphemia,Blasphemia,images/ec-all/blasphemia.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F3f7b70a6d5d2be702d13ea424102bdc0_400x600.webp?alt=media
boom-escape,Boom Escape,images/ec-all/boom-escape.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fba9356f1-5b64-4e9a-a193-8bb603588b26_400x600.webp?alt=media
boom-escape-409091,Boom Escape,images/ec-all/boom-escape-409091.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F04f06911-2c92-4d87-954e-ba844b91e888_400x600.webp?alt=media
bran-castle,Bran Castle,images/ec-all/bran-castle.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F79e89dc4-1d43-43ab-8055-cbe0a1951c94_400x600.webp?alt=media
breaking-palafolls,Breaking Palafolls,images/ec-all/breaking-palafolls.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbreaking%20palafolls_400x600.webp?alt=media
breaking-room,Breaking room,images/ec-all/breaking-room.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbreakingroom_400x600.webp?alt=media
brujeria,Brujería,images/ec-all/brujeria.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F5e76ae25-8c4e-4f12-a491-9350f73b2fe8_400x600.webp?alt=media
bunker,Bunker,images/ec-all/bunker.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbunker_400x600.webp?alt=media
bunker-102,Bunker 102,images/ec-all/bunker-102.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fbunker102_400x600.webp?alt=media
c-s-i,C.S.I.,images/ec-all/c-s-i.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcsi_400x600.webp?alt=media
ca-la-rulos,Ca la Rulos,images/ec-all/ca-la-rulos.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcalarulos_400x600.webp?alt=media
cadena-perpetua,Cadena Perpetua,images/ec-all/cadena-perpetua.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FCadenaPerpetua_jpg_400x600.webp?alt=media
cain,CAIN,images/ec-all/cain.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcain_400x600.webp?alt=media
cain-443131,Caín,images/ec-all/cain-443131.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F82de6b7e-150c-472d-9d68-24edeb4a9fbb_400x600.webp?alt=media
call-or-die,Call or Die,images/ec-all/call-or-die.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcff54ec58b86b08815d19fa6f27a8487_400x600.webp?alt=media
calle-de-la-magia,Calle de la Magia,images/ec-all/calle-de-la-magia.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Flacalledelamagia_400x600.webp?alt=media
callejon-diggon,Callejón Diggón,images/ec-all/callejon-diggon.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F79c7631b-c3f2-42fb-8d8c-e22b1449a6e4_400x600.webp?alt=media
camino-a-la-logia-negra,Camino a la Logia Negra,images/ec-all/camino-a-la-logia-negra.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcaminoalalogianegra_400x600.webp?alt=media
can-farigola,Can Farigola,images/ec-all/can-farigola.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcanfarigola2_400x600.webp?alt=media
candelaria,Candelaria,images/ec-all/candelaria.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcandelaria_400x600.webp?alt=media
caronte,Caronte,images/ec-all/caronte.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F1d86ea1dabc74adef8642cb74e136e25_400x600.webp?alt=media
casa-del-relojero,Casa del Relojero,images/ec-all/casa-del-relojero.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcasadelrelojero_400x600.webp?alt=media
casanova-la-fuga-de-bcn,Casanova: la Fuga de Barcelona,images/ec-all/casanova-la-fuga-de-bcn.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcasanovalafugadebcn_400x600.webp?alt=media
castillo-sant-angelo,Castillo Sant Angelo,images/ec-all/castillo-sant-angelo.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcastillo%20san%20angelo_400x600.webp?alt=media
catacumbas,Catacumbas,images/ec-all/catacumbas.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcatacumbas_400x600.webp?alt=media
catalepsia,Catalepsia,images/ec-all/catalepsia.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Ffab1fdd6cecbad12b0b77f51de42a3af_400x600.webp?alt=media
caza-de-brujas,Caza de Brujas,images/ec-all/caza-de-brujas.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcazadebrujas_400x600.webp?alt=media
cazadores-de-brujas,Cazadores de Brujas,images/ec-all/cazadores-de-brujas.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcazadoresdebrujas_400x600.webp?alt=media
celda,Celda,images/ec-all/celda.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcelda_400x600.webp?alt=media
celda-612431,Celda,images/ec-all/celda-612431.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F9c2f3fda-2901-4c9c-94b4-6c9cbed65363_400x600.webp?alt=media
celler-1890,La Bodega,images/ec-all/celler-1890.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FelCeller_400x600.webp?alt=media
central-friends,Central Friends,images/ec-all/central-friends.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcentralfriends_400x600.webp?alt=media
charlie-s-factory,Charlie's Factory,images/ec-all/charlie-s-factory.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FCharlies_400x600.webp?alt=media
chernobil,Chernóbil,images/ec-all/chernobil.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F1e1f7ba7-04b4-49e9-9940-2558921827ec_400x600.webp?alt=media
chernobyl,Chernobyl,images/ec-all/chernobyl.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fchernobylalicante_400x600.webp?alt=media
chernobyl-1986,Chernobyl 1986,images/ec-all/chernobyl-1986.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fchernobyl_400x600.webp?alt=media
